video_id,published_at,channel_id,length_title,length_description,liveBroadcastContent,length_tags,category,duration,dimension,definition,caption,licensedContent,privacyStatus,view_count,like_count,favorite_count,comment_count,channel_view_count,channel_sub_count,channel_video_count,channel_country
Djc0kF8UJLw,2024-01-13T11:00:19Z,UC_RDtmUq7RISJ4mFKAhjzTg,53,1019,none,3.0,People & Blogs,PT29M44S,2d,hd,true,True,public,419706,16313,0,607,224573224,1450000,215,JP
AFfsUa0PYL0,2024-01-06T12:00:14Z,UC_RDtmUq7RISJ4mFKAhjzTg,75,1151,none,3.0,People & Blogs,PT34M8S,2d,hd,true,True,public,698272,25174,0,1379,224573224,1450000,215,JP
4V9bAg0P8kQ,2022-10-26T21:01:13Z,UC5RLcUMn6TqvRJnhBTtzWUg,22,0,none,,Film & Animation,PT15S,2d,hd,false,True,public,4190814,252938,0,1795,551924556,381000,302,US
F-bqbhUEghY,2022-08-06T20:02:07Z,UC5RLcUMn6TqvRJnhBTtzWUg,22,0,none,,Film & Animation,PT15S,2d,hd,false,True,public,3621409,241229,0,1614,551924556,381000,302,US
K0sGaPyO8yA,2022-09-20T19:20:13Z,UCu-pLexbz0lzAzwzXtd6v_Q,62,0,none,,People & Blogs,PT47S,2d,hd,false,True,public,17097671,1498921,0,7420,2917583937,6480000,470,
v2oqC03d5Fw,2023-12-09T11:00:52Z,UC_RDtmUq7RISJ4mFKAhjzTg,82,1074,none,4.0,People & Blogs,PT24M34S,2d,hd,true,True,public,2857435,60915,0,2094,224573224,1450000,215,JP
IQwiVXpCBR0,2023-04-09T00:14:05Z,UCbVjHcTW1zNtt-KPjxrqE2g,63,0,none,21.0,Film & Animation,PT19S,2d,hd,false,False,public,1608180,103092,0,498,158986114,202000,235,IN
R8Z7OeiPfdI,2023-12-16T11:00:31Z,UC_RDtmUq7RISJ4mFKAhjzTg,67,1232,none,3.0,People & Blogs,PT34M19S,2d,hd,true,True,public,610364,20424,0,870,224573224,1450000,215,JP
mp7ZoENj1qU,2023-12-30T11:00:45Z,UC_RDtmUq7RISJ4mFKAhjzTg,86,1207,none,3.0,People & Blogs,PT29M27S,2d,hd,true,True,public,861593,26486,0,1418,224573224,1450000,215,JP
1Ut0K8LHB0I,2022-09-22T10:23:22Z,UCJIXTtXaBGzktcO_373d-GA,5,836,none,,Film & Animation,PT14S,2d,hd,false,False,public,878999,25028,0,225,1409829,11100,34,IN
ZCoptqN0qH8,2023-05-22T18:09:47Z,UCry2sH_9Oi_QzwGV7GFhalQ,42,0,none,,People & Blogs,PT24S,2d,hd,false,False,public,2010475,132259,0,933,20485842,35800,140,
4pCrZF0XiKY,2023-02-16T00:44:06Z,UCbVjHcTW1zNtt-KPjxrqE2g,78,0,none,21.0,Film & Animation,PT22S,2d,hd,false,False,public,2456499,178294,0,365,158986114,202000,235,IN
Hlms4P7VWwc,2022-05-27T23:00:11Z,UC3q72fv_M0WZyRy88IhitpA,40,0,none,,People & Blogs,PT17S,2d,hd,false,False,public,5126536,297891,0,4413,5485262,12000,48,
PfH2BdjDDro,2022-07-16T21:01:18Z,UC5RLcUMn6TqvRJnhBTtzWUg,56,0,none,,Film & Animation,PT17S,2d,hd,false,True,public,2948458,233229,0,816,551924556,381000,302,US
SL66dXD3efw,2023-06-02T11:53:41Z,UC8V0ByjToLTxDZT5mRS-gEQ,46,0,none,,Film & Animation,PT31S,2d,hd,false,False,public,1097917,17076,0,541,68606607,106000,551,QA
