length_title,length_description,category,caption,licensedContent,privacyStatus,view_count,like_count,comment_count,channel_view_count,channel_sub_count,channel_video_count,channel_country,days_online,published_month,duration_sec
53,1019,People & Blogs,True,True,public,419706,16313,607,224573224,1450000,215,JP,9,1,1784
75,1151,People & Blogs,True,True,public,698272,25174,1379,224573224,1450000,215,JP,16,1,2048
22,0,Film & Animation,False,True,public,4190814,252938,1795,551924556,381000,302,US,452,10,15
22,0,Film & Animation,False,True,public,3621409,241229,1614,551924556,381000,302,US,533,8,15
82,1074,People & Blogs,True,True,public,2857435,60915,2094,224573224,1450000,215,JP,44,12,1474
63,0,Film & Animation,False,False,public,1608180,103092,498,158986114,202000,235,IN,288,4,19
67,1232,People & Blogs,True,True,public,610364,20424,870,224573224,1450000,215,JP,37,12,2059
86,1207,People & Blogs,True,True,public,861593,26486,1418,224573224,1450000,215,JP,23,12,1767
5,836,Film & Animation,False,False,public,878999,25028,225,1409829,11100,34,IN,487,9,14
78,0,Film & Animation,False,False,public,2456499,178294,365,158986114,202000,235,IN,340,2,22
56,0,Film & Animation,False,True,public,2948458,233229,816,551924556,381000,302,US,554,7,17
46,0,Film & Animation,False,False,public,1097917,17076,541,68606607,106000,551,QA,234,6,31
56,0,Film & Animation,False,True,public,1441265,91494,417,551924556,381000,302,US,582,6,23
68,0,Entertainment,False,True,public,67937,6134,83,217243544,247000,1540,US,19,1,60
25,0,Film & Animation,False,False,public,8798960,611903,3499,12328286,25400,161,BR,855,9,52
61,1226,People & Blogs,True,True,public,730358,20594,692,224573224,1450000,215,JP,58,11,2098
66,1465,People & Blogs,True,True,public,515513,11564,606,224573224,1450000,215,JP,29,12,4291
95,0,Entertainment,False,True,public,115836,12153,134,217243544,247000,1540,US,233,6,25
50,175,Entertainment,False,False,public,1732365,79329,303,25882362,28200,192,MY,381,1,14
15,0,Film & Animation,False,True,public,1560410,96227,544,551924556,381000,302,US,453,10,14
65,1179,People & Blogs,True,True,public,1640902,33154,971,224573224,1450000,215,JP,72,11,1778
52,60,Travel & Events,False,True,public,276147,20357,19,173286953,339000,432,US,8,1,15
84,203,People & Blogs,False,True,public,8860565,689644,1290,15701121,39000,238,CA,29,12,59
15,24,People & Blogs,False,True,public,7128380,524781,1698,7614602462,14000000,805,US,737,1,29
23,20,Education,False,True,public,1372387,114068,226,1115061628,1210000,1572,JP,30,12,32
41,483,Education,False,True,public,2595284,180624,302,1115061628,1210000,1572,JP,843,10,24
19,0,Entertainment,False,True,public,2466182,190908,1562,4403892333,3170000,2388,US,604,5,21
19,2110,People & Blogs,True,True,public,10796929,330968,13366,7614602462,14000000,805,US,988,5,1271
72,0,Howto & Style,False,False,public,9075659,573081,2283,12637743,23400,144,IN,224,6,39
80,1266,People & Blogs,False,True,public,6784272,247968,1095,1126054334,2710000,298,CA,231,6,26
61,449,Howto & Style,False,True,public,5028686,65700,1833,1169690660,3630000,2019,US,1564,10,403
29,65,People & Blogs,False,True,public,6740034,605105,1239,4692879166,4870000,2293,US,794,11,60
17,21,People & Blogs,False,True,public,8329109,542223,6382,7614602462,14000000,805,US,703,2,34
43,974,Howto & Style,False,True,public,1415735,167675,414,145352840,1010000,261,ES,694,2,60
39,376,People & Blogs,False,True,public,1848254,148130,370,44559468,101000,469,AU,268,4,57
52,797,Howto & Style,False,True,public,1649553,48943,1063,433401932,4230000,499,US,1018,4,780
28,132,People & Blogs,False,True,public,10051888,685952,1822,4692879166,4870000,2293,US,742,1,51
